PlcIndex	befundart	epoche	abschnitt	kultur	Easting	Northing
17810	unklar	undat.	NA	NA	4500588,423	5733324,127
17811	Siedlung	undat.	NA	NA	4500586,505	5733324,494
17812	unklar	undat.	NA	NA	4500587,011	5733326,272
17826	Siedlung	Neolithikum	NA	NA	4500648,114	5733301,219
17813	Siedlung	undat.	NA	NA	4500606,247	5733311,901
17814	unklar	undat.	NA	NA	4500594,858	5733320,515
17815	Siedlung	undat.	NA	NA	4500594,942	5733323,075
17816	Siedlung	undat.	NA	NA	4500612,824	5733310,109
17819	Siedlung	undat.	NA	NA	4500789,205	5733384,376
17827	Siedlung	Neolithikum	NA	NA	4500649,246	5733300,742
17828	Siedlung	Neolithikum	NA	NA	4500651,577	5733299,271
17829	Siedlung	Neolithikum	NA	NA	4500652,854	5733298,802
17830	Siedlung	Neolithikum	NA	NA	4500651,54	5733298,769
17831	Siedlung	Neolithikum	NA	NA	4500650,109	5733297,983
17832	Siedlung	Neolithikum	NA	NA	4500650,532	5733295,79
17833	Siedlung	Neolithikum	NA	NA	4500647,954	5733295,864
17834	unklar	undat.	NA	NA	4500646,003	5733302,01
17835	Siedlung	Neolithikum	NA	NA	4500647,02	5733301,541
17842	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500642,667	5733337,851
17843	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500645,398	5733338,409
17844	Siedlung	undat.	NA	NA	4500695,192	5733321,608
17845	Siedlung	undat.	NA	NA	4500699,131	5733342,033
17846	Siedlung	undat.	NA	NA	4500636,764	5733336,223
17847	Siedlung	undat.	NA	NA	4500693,936	5733351,507
17848	Siedlung	undat.	NA	NA	4500686,055	5733361,258
17849	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500644,609	5733336,752
17850	Siedlung	undat.	NA	NA	4500678,725	5733359,498
17851	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500646,342	5733335,723
17852	Siedlung	undat.	NA	NA	4500676,571	5733361,174
17857	Siedlung	undat.	NA	NA	4500707,425	5733445,58
17859	Siedlung	undat.	NA	NA	4500717,519	5733442,951
17860	Siedlung	undat.	NA	NA	4500705,413	5733441,372
17861	Siedlung	undat.	NA	NA	4500707,875	5733442,396
17864	Siedlung	undat.	NA	NA	4500699,95	5733436,964
17865	Siedlung	undat.	NA	NA	4500684,844	5733436,843
17866	Siedlung	undat.	NA	NA	4500724,403	5733333,886
17867	Siedlung	undat.	NA	NA	4500723,355	5733332,748
17868	Siedlung	undat.	NA	NA	4500718,891	5733352,313
17869	Siedlung	undat.	NA	NA	4500719,452	5733343,891
17870	Siedlung	undat.	NA	NA	4500722,618	5733332,362
17871	Siedlung	undat.	NA	NA	4500722,129	5733331,81
17873	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500746,086	5733313,18
17874	Siedlung	undat.	NA	NA	4500671,347	5733317,518
17875	Siedlung	undat.	NA	NA	4500672,274	5733316,572
17876	Siedlung	undat.	NA	NA	4500688,748	5733312,957
17877	Siedlung	undat.	NA	NA	4500765,518	5733385,018
17897	Siedlung	undat.	NA	NA	4500805,021	5733350,664
17898	Siedlung	undat.	NA	NA	4500655,684	5733441,809
17900	Siedlung	undat.	NA	NA	4500580,053	5733338,271
17901	Siedlung	undat.	NA	NA	4500583,316	5733340,206
17902	Siedlung	undat.	NA	NA	4500577,287	5733332,911
17903	Siedlung	undat.	NA	NA	4500580,05	5733334,761
17904	Siedlung	undat.	NA	NA	4500560,754	5733350,642
17905	Siedlung	undat.	NA	NA	4500656,619	5733442,939
17906	unklar	undat.	NA	NA	4500561,906	5733352,842
17907	Siedlung	undat.	NA	NA	4500559,308	5733352,903
17908	Siedlung	undat.	NA	NA	4500656,023	5733440,921
17909	Siedlung	undat.	NA	NA	4500576,462	5733372,751
17912	Siedlung	undat.	NA	NA	4500609,829	5733307,629
17913	Siedlung	undat.	NA	NA	4500626,708	5733289,933
17914	Siedlung	undat.	NA	NA	4500628,911	5733286,598
17915	Siedlung	undat.	NA	NA	4500629,831	5733286,248
17916	Siedlung	undat.	NA	NA	4500611,661	5733295,09
17917	Siedlung	undat.	NA	NA	4500664,046	5733440,701
17918	Siedlung	undat.	NA	NA	4500663,4	5733442,287
17919	Siedlung	undat.	NA	NA	4500665,421	5733439,468
17923	Siedlung	undat.	NA	NA	4500663,305	5733448,822
17932	Siedlung	undat.	NA	NA	4500600,791	5733386,174
17933	Siedlung	undat.	NA	NA	4500583,382	5733379,072
17934	Siedlung	undat.	NA	NA	4500587,668	5733374,785
17935	unklar	undat.	NA	NA	4500586,564	5733380,835
17936	Siedlung	undat.	NA	NA	4500581,255	5733378,042
17937	Siedlung	Neolithikum	spaet	Schnurkeramik	4500593,384	5733388,062
17956	Siedlung	undat.	NA	NA	4500777,756	5733387,826
17938	unklar	Neolithikum	NA	NA	4500590,713	5733389,497
17939	unklar	Neolithikum	NA	NA	4500592,539	5733388,042
17940	Siedlung	undat.	NA	NA	4500592,155	5733391,067
17941	unklar	Neolithikum	spaet	Schnurkeramik	4500591,786	5733389,894
17942	unklar	undat.	NA	NA	4500808,794	5733356,785
17943	Siedlung	undat.	NA	NA	4500596,715	5733370,623
17944	Siedlung	undat.	NA	NA	4500596,862	5733374,246
17945	Siedlung	undat.	NA	NA	4500625,215	5733361,647
17946	Siedlung	undat.	NA	NA	4500606,821	5733365,877
17947	Siedlung	undat.	NA	NA	4500602,754	5733360,761
17968	Siedlung	undat.	NA	NA	4500570,296	5733374,444
17948	unklar	Bronzezeit	spaet	Saalemuendungsgruppe	4500686,882	5733339,688
17949	Siedlung	Bronzezeit	spaet	Saalemuendungsgruppe	4500677,573	5733349,49
17950	Siedlung	undat.	NA	NA	4500694,092	5733350,826
17951	unklar	Neolithikum	spaet	Schnurkeramik	4500683,223	5733313,411
17952	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500695,813	5733323,935
17955	unklar	Bronzezeit	spaet	Saalemuendungsgruppe	4500686,465	5733341,972
17969	Siedlung	undat.	NA	NA	4500772,605	5733373,399
17957	Siedlung	undat.	NA	NA	4500727,875	5733300,217
17959	Siedlung	undat.	NA	NA	4500706,959	5733326,419
17960	Siedlung	undat.	NA	NA	4500704,239	5733337,453
17961	Siedlung	undat.	NA	NA	4500706,867	5733338,115
17962	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500711,514	5733329,076
17964	Siedlung	undat.	NA	NA	4500705,185	5733315,012
17965	unklar	undat.	NA	NA	4500702,837	5733313,158
17970	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500760,61	5733333,533
17971	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500760,737	5733334,293
17972	Siedlung	undat.	NA	NA	4500763,163	5733332,885
17973	Siedlung	undat.	NA	NA	4500759,553	5733332,153
17974	Siedlung	undat.	NA	NA	4500669,746	5733437,814
17975	Siedlung	undat.	NA	NA	4500769,399	5733331,239
17976	Siedlung	undat.	NA	NA	4500665,747	5733442,973
