"","PlcIndex","Easting","Northing"
"3065",8129,4491584.171,5738304.036
"3066",8130,4491581.389,5738308.157
"3067",8131,4491555.886,5738326.574
"3068",8132,4491550.146,5738316.013
"3069",8133,4491547.699,5738321.898
"3070",8134,4491592.263,5738300.799
"3071",8135,4491566.312,5738322.266
"3072",8136,4491564.346,5738326.639
"3073",8137,4491563.194,5738321.641
"3079",8190,4491576.756,5738313.923
"3081",8255,4491574.488,5738310.761
"3082",8254,4491556.735,5738340.059
"3083",8245,4491531.546,5738344.998
"3098",8330,4491549.21,5738318.608
"3099",8331,4491518.86,5738329.174
"3100",8332,4491524.75,5738326.74
"3101",8352,4491610.882,5738291.312
"3106",8360,4492656.311,5737917.763
"3109",8363,4492663.198,5737942.793
"3123",8598,4491600.058,5738315.778
"3127",8601,4491596.009,5738315.353
"3129",8609,4491597.759,5738319.111
"3135",8625,4491644.861,5738290.216
"3136",8642,4491559.83,5738331.547
"3137",8657,4491548.107,5738338.62
"3138",8660,4491624.271,5738288.078
"3139",8667,4491587.494,5738322.302
"3140",8674,4491583.843,5738317.678
"3141",8676,4491584.746,5738313.694
"3142",8680,4491579.605,5738317.667
"3143",8688,4491550.719,5738343.236
"3144",8689,4491539.793,5738345.07
"3146",8691,4491589.315,5738296.565
"3147",8692,4491571.509,5738315.039
"3148",8693,4491579.769,5738310.846
"3149",8694,4491584.573,5738300.292
"3150",8695,4491583.197,5738302.281
"3151",8696,4491586.807,5738303.054
"3152",8697,4491549.976,5738320.22
"3153",8698,4491527.664,5738331.745
"3154",8699,4491523.641,5738333.906
"3155",8700,4491519.377,5738337.319
"3156",8701,4491521.101,5738343.378
"3157",8702,4491531.266,5738329.584
"3158",8704,4491511.467,5738346.499
"3159",8705,4491539.957,5738332.443
"3160",8710,4491535.467,5738320.329
"3161",8712,4491520.956,5738324.896
"3162",8713,4491520.652,5738331.07
"3163",8714,4491519.047,5738330.435
"3164",8717,4491520.059,5738320.239
"3166",8720,4491511.889,5738327.999
"3167",8731,4491511.062,5738310.325
"3203",9209,4492654.948,5737939.901
"3210",9221,4492638.622,5737920.835
"3557",6822,4491677.399,5738263.012
"3637",7081,4491745.669,5738288.105
"3656",7144,4491762.621,5738328.486
"3675",7657,4491776.258,5738326.039
"3685",8018,4491689.964,5738118.54
"3691",8149,4491763.342,5738329.383
"3692",8150,4491747.883,5738331.396
"3695",8154,4491750.265,5738342.651
"3696",8155,4491761.918,5738333.175
"3697",8156,4491748.97,5738338.288
"3698",8159,4491749.442,5738314.035
"3699",8162,4491767.305,5738338.258
"3702",8167,4491760.128,5738328.207
"3704",8169,4491775.147,5738321.073
"3706",8174,4491753.256,5738254.705
"3707",8175,4491753.024,5738252.489
"3708",8177,4491763.877,5738339.665
"3709",8178,4491759.1,5738340.207
"3710",8179,4491760.064,5738337.084
"3711",8180,4491763.916,5738336.475
"3765",8398,4491678.25,5738280.015
"3769",8402,4491686.572,5738262.481
"3810",8787,4491677.537,5738265.07
"3838",8838,4491747.542,5738287.625
"3849",8867,4491763.637,5738312.581
"3850",8869,4491764.918,5738309.86
"3852",8873,4491760.998,5738309.375
"3880",8933,4491769.706,5738357.615
"3885",8942,4491747.221,5738288.593
"3887",8944,4491746.55,5738289.139
"3888",8945,4491745.963,5738289.966
"3889",8946,4491764.486,5738337.999
"3890",8947,4491761.727,5738336.319
"3892",8949,4491760.874,5738341.363
"3978",5738,4490903.282,5738927.879
"3981",5745,4491273.308,5738846.863
"3982",5751,4491303.76,5738836.887
"3983",5752,4491214.362,5738864.474
"3987",5789,4491281.84,5738554.827
"3988",5793,4491323.491,5738513.937
"3990",5815,4490901.14,5738942.567
"3991",5816,4490886.009,5738965.56
"3992",5818,4491230.685,5738864.113
"3993",5828,4490911.977,5738907.025
"3994",5831,4490891.504,5738938.345
"3996",5850,4491124.287,5738709.481
"3998",5855,4491127.686,5738716.54
"4000",5858,4491133.327,5738705.086
"4001",5865,4491215.957,5738865.565
"4002",5866,4491217.486,5738867.092
"4004",5869,4491221.831,5738862.53
"4005",5881,4491288.608,5738546.497
"4006",5890,4491280.552,5738542.373
"4008",5894,4491299.143,5738524.322
"4026",6103,4491028.878,5738736.917
"4028",6154,4490905.852,5738926.367
"4040",6279,4491137.863,5738693.364
"4041",6280,4491113.484,5738707.721
"4042",6281,4491233.19,5738583.117
"4065",6690,4491139.166,5738701.734
"4075",6873,4491240.374,5738862.979
"4076",6912,4491119.208,5738715.052
"4077",6915,4491120.914,5738714.476
"4086",6978,4491372.651,5738453.047
"4087",6979,4491140.277,5738685.29
"4088",6980,4491140.78,5738685.751
"4089",6981,4491141.571,5738685.889
"4090",6984,4491142.094,5738686.325
"4091",6985,4491141.794,5738684.819
"4092",6986,4491142.534,5738684.122
"4096",6994,4491143.983,5738685.132
"4097",7006,4491148.836,5738687.18
"4103",7033,4491148.299,5738679.706
"4104",7040,4491150.387,5738680.684
"4105",7042,4491153.915,5738681.946
"4106",7048,4491156.812,5738682.554
"4107",7049,4491148.838,5738691.403
"4108",7054,4491137.597,5738689.1
"4123",7370,4491186.108,5738652.441
"4124",7371,4491259.366,5738560.804
"4125",7380,4491275.638,5738545.412
"4126",7447,4491283.921,5738550.768
"4127",7451,4491281.047,5738538.83
"4128",7454,4491142.697,5738689.414
"4129",7455,4491360.922,5738474.015
"4130",7456,4491358.781,5738465.055
"4131",7462,4491066.3,5738746.662
"4132",7464,4491075.312,5738747.674
"4134",7469,4491277.793,5738524.101
"4135",7484,4491129.709,5738689.913
"4136",7473,4491315.513,5738500.956
"4137",7485,4491310.16,5738502.023
"4153",7742,4491132.634,5738693.028
"4165",7967,4491242.867,5738863.633
"4172",8001,4491035.773,5738749.514
"4174",8009,4491031.694,5738737.981
"4175",8017,4491311.079,5738503.49
"4176",8019,4491318.716,5738482.799
"4177",8020,4491315.713,5738520.927
"4181",8038,4491313.852,5738500.174
"4184",8059,4491314.5,5738495.929
"4185",8062,4491313.397,5738503.933
"4186",8063,4491307.162,5738507.759
"4188",8148,4491340.733,5738474.085
"4189",8171,4491324.58,5738476.845
"4190",8181,4491017.925,5738740.395
"4193",8201,4491183.238,5738653.027
"4195",8341,4491249.997,5738865.644
"4197",8409,4491220.073,5738862.875
"4199",8411,4491251.44,5738861.848
"4210",8574,4491251.427,5738863.398
"4239",8770,4491186.35,5738851.975
"4240",8771,4491197.518,5738847.85
"4246",8784,4491250.241,5738857.071
"4247",8785,4491253.59,5738854.527
"4250",8792,4491252.383,5738863.099
"4251",8793,4491251.964,5738864.607
"4253",8796,4491266.245,5738866.651
"4257",8845,4491045.333,5738737.231
"4262",8852,4491028.058,5738736.881
"4282",8896,4491032.008,5738743.908
"4286",8937,4491031.125,5738737.167
"4287",8939,4491030.371,5738736.932
"4303",9030,4491091.396,5738753.174
"4304",9045,4491093.914,5738752.823
"4305",9046,4491287.27,5738549.125
"4306",9047,4491278.383,5738541.339
"4307",9048,4491286.481,5738533.256
"4308",9057,4491245.43,5738570.978
"4309",9049,4491287.727,5738531.934
"4310",9050,4491296.383,5738535.292
"4311",9052,4491080.295,5738749.058
"4312",9053,4491147.789,5738670.541
"4313",9054,4491190.601,5738616.646
"4314",9056,4491242.222,5738567.983
"4315",9058,4491254.994,5738558.634
"4316",9059,4491257.705,5738560.286
"4317",9060,4491258.421,5738559.151
"4318",9061,4491257.341,5738557.848
"4319",9062,4491261.508,5738543.641
"4320",9063,4491277.665,5738528.132
"4321",9064,4491277.405,5738526.057
"4322",9065,4491284.856,5738531.354
"4326",9069,4491298.553,5738517.077
"4327",9070,4491306.757,5738510.645
"4332",9075,4491326.714,5738478.457
"4334",9077,4491316.733,5738488.976
"4335",9078,4491316.738,5738486.47
"4336",9079,4491319.7,5738487.863
"4339",9082,4491332.007,5738446.33
"4341",9084,4491337.806,5738436.981
"4342",9085,4491338.396,5738435.177
"4348",9292,4491337.837,5738434.589
"4351",16937,4500911.527,5733434.482
"4353",16938,4500906.764,5733434.791
"4357",17024,4500919.691,5733409.116
"4359",17090,4500923.548,5733414.123
"4361",17091,4500916.63,5733421.028
"4363",17092,4500921.361,5733407.373
"4365",17093,4500925.019,5733418.467
"4367",17094,4500923.812,5733417.277
"4369",17095,4500923.58,5733415.188
"4371",17096,4500923.466,5733419.171
"4373",17121,4500909.45,5733434.745
"4375",17122,4500908.717,5733432.783
"4377",17123,4500908.071,5733434.426
"4379",17125,4500914.085,5733394.843
"4381",17206,4500911.134,5733431.497
"4383",17207,4500914.411,5733432.703
"4385",17209,4500918.755,5733421.969
"4387",17210,4500916.674,5733428.733
"4389",17211,4500915.031,5733427.108
"4391",17212,4500904.327,5733434.072
"4393",17213,4500903.034,5733435.078
"4395",17294,4500914.438,5733397.057
"4397",17297,4500916.052,5733400.219
"4399",17298,4500847.157,5733374.094
"4401",17299,4500849.228,5733374.042
"4403",17300,4500848.141,5733372.949
"4405",17302,4500828.35,5733394.389
"4407",17303,4500825.761,5733394.454
"4409",17370,4500886.215,5733402.934
"4411",17372,4500844.828,5733398.123
"4413",17374,4500848.197,5733397.123
"4415",17375,4500849.546,5733399.014
"4417",17479,4500842.603,5733398.159
"4419",17558,4500920.123,5733404.661
"4423",17586,4500907.043,5733400.552
"4425",17587,4500909.198,5733401.954
"4427",17698,4500916.342,5733400.782
"4429",17699,4500915.215,5733400.077
"4431",17718,4500821.02,5733379.164
"4433",18010,4500817.813,5733379.546
"4435",18104,4500891.734,5733418.766
"4437",18107,4500905.358,5733413.1
"4439",18108,4500905.229,5733413.17
"4441",18185,4500920.187,5733412.085
"4443",18186,4500919.689,5733413.272
"4445",18334,4500828.874,5733382.62
"4448",6416,4497963.995,5733556.725
"4451",16916,4500745.31,5733317.022
"4455",16943,4500658.295,5733280.229
"4457",16961,4500714.001,5733270.599
"4459",16972,4500682.37,5733448.455
"4461",16982,4500687.069,5733408.253
"4463",16996,4500675.765,5733294.015
"4465",17018,4500733.351,5733386.972
"4467",17006,4500750.038,5733391.691
"4469",17016,4500727.855,5733383.866
"4471",17025,4500731.163,5733387.704
"4473",17026,4500730.556,5733387.179
"4475",17039,4500754.615,5733361.006
"4477",17044,4500791.284,5733338.681
"4479",17065,4500657.422,5733409.483
"4481",17081,4500715.1,5733269.933
"4483",17128,4500744.412,5733386.424
"4487",17132,4500750.36,5733384.772
"4489",17143,4500754.114,5733353.05
"4491",17153,4500782.071,5733345.164
"4495",17230,4500620.3,5733323.921
"4497",17227,4500622.499,5733322.595
"4499",17232,4500621.568,5733321.254
"4501",17233,4500619.622,5733322.296
"4503",17238,4500688.359,5733445.561
"4505",17244,4500737.536,5733391.178
"4507",17246,4500738.609,5733390.728
"4509",17252,4500742.003,5733393.454
"4511",17256,4500695.532,5733370.695
"4513",17309,4500756.239,5733334.198
"4515",17321,4500683.512,5733426.61
"4517",17322,4500693.514,5733431.244
"4519",17332,4500648.322,5733435.425
"4521",17333,4500650.812,5733440.168
"4523",17335,4500644.169,5733437.075
"4525",17338,4500723.837,5733404.905
"4529",17350,4500699.298,5733364.961
"4531",17412,4500709.73,5733370.163
"4533",17403,4500801.022,5733379.682
"4535",17414,4500735.346,5733356.173
"4539",17426,4500698.741,5733425.822
"4541",17431,4500697.881,5733427.539
"4543",17433,4500653.194,5733435.024
"4545",17440,4500784.68,5733381.369
"4547",17449,4500581.14,5733361.687
"4549",17467,4500782.436,5733372.205
"4551",17464,4500762.926,5733381.109
"4553",17468,4500747.305,5733389.916
"4555",17469,4500750.579,5733389.616
"4557",17470,4500764.818,5733380.78
"4559",17523,4500596.835,5733396.903
"4561",17553,4500766.738,5733327.679
"4563",17554,4500765.118,5733327.057
"4565",17636,4500692.258,5733331.878
"4567",17652,4500760.456,5733327.785
"4569",17659,4500701.485,5733453.725
"4571",17669,4500708.958,5733415.6
"4573",17679,4500766.515,5733324.527
"4575",17680,4500767.658,5733326.783
"4577",17685,4500766.199,5733326.261
"4579",17734,4500749.324,5733323.181
"4581",17742,4500712.096,5733431.529
"4583",17764,4500606.877,5733337.589
"4585",17769,4500603.162,5733348.39
"4587",17800,4500654.155,5733405.032
"4589",17824,4500791.791,5733378.044
"4591",17872,4500746.989,5733316.38
"4593",17899,4500645.719,5733438.549
"4595",17910,4500662.208,5733442.147
"4597",17911,4500664.187,5733444.591
"4599",17920,4500784.157,5733366.242
